Case #,Task Description,Code Solution,Score
229,Write a function to re-arrange the elements of the given array so that all negative elements appear before positive ones.,"
def re_arrange_array(arr, n):
  j = 0
  for i in range(0, n):
    if arr[i] < 0:
      arr[i], arr[j] = arr[j], arr[i]
      j += 1
  return arr
",100.0
230,Write a function to replace blank spaces with any character in a string.,"
def replace_blank(str1, char):
    str2 = str1.replace(' ', char)
    return str2
",100.0
232,Write a function to get the n largest items from a dataset.,"
import heapq

def larg_nnum(list1, n):
    largest = heapq.nlargest(n, list1)
    return largest
",100.0
233,Write a function to find the lateral surface area of a cylinder.,"
def lateralsuface_cylinder(r, h):
    lateralsurface = 2 * 3.1415 * r * h
    return lateralsurface
",100.0
234,Write a function to find the volume of a cube.,"
def volume_cube(l):
  volume = l * l * l
  return volume
",100.0
235,Write a python function to set all even bits of a given number.,"
def even_bit_set_number(n):
    count = 0
    res = 0
    temp = n
    while temp > 0:
        if count % 2 == 1:
            res |= (1 << count)
        count += 1
        temp >>= 1
    return n | res
",100.0
236,Write a python function to count the maximum number of equilateral triangles that can be formed within a given equilateral triangle.,"
def No_of_Triangle(N, K):
    if (N < K):
        return -1
    else:
        Tri_up = ((N - K + 1) * (N - K + 2)) // 2
        if (N < 2 * K):
            return Tri_up
        else:
            Tri_down = ((N - 2 * K + 1) * (N - 2 * K + 2)) // 2
            return Tri_up + Tri_down
",100.0
237,Write a function to check the occurrences of records which occur similar times in the given tuples.,"
from collections import Counter

def check_occurences(test_list):
    res = dict(Counter(tuple(sorted(ele)) for ele in test_list))
    return res
",100.0
238,Write a python function to count number of non-empty substrings of a given string.,"
def number_of_substrings(string):
    str_len = len(string)
    return int(str_len * (str_len + 1) / 2)
",100.0
743,Write a function to rotate a given list by specified number of items to the right direction.,"
def rotate_right(list1, m, n):
    result = list1[-m:] + list1[:-n]
    return result
",100.0
745,Write a function to find numbers within a given range where every number is divisible by every digit it contains.,"
def divisible_by_digits(startnum, endnum):
    return [n for n in range(startnum, endnum+1) \
                if not any(map(lambda x: int(x) == 0 or n % int(x) != 0, str(n)))]

assert divisible_by_digits(1,22)==[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 22]
assert divisible_by_digits(1,15)==[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15]
assert divisible_by_digits(20,25)==[22, 24]
",100.0
240,Write a function to replace the last element of the list with another list.,"
def replace_list(list1, list2):
    list1[-1:] = list2
    return list1
",100.0
241,Write a function to generate a 3d array having each element as '*'.,"
def array_3d(m, n, o):
    array_3d = [[['*' for _ in range(m)] for _ in range(n)] for _ in range(o)]
    return array_3d
",100.0
242,Write a function to count total characters in a string.,"
def count_charac(str1):
    total = 0
    for i in str1:
        total = total + 1
    return total
",100.0
243,Write a function to sort the given list based on the occurrence of first element of tuples.,"
def sort_on_occurence(lst):
    from collections import defaultdict
    dct = defaultdict(list)
    for i, j in lst:
        dct[i].append(j)
    result = [(i, *dict.fromkeys(j), len(j)) for i, j in dct.items()]
    result.sort(key=lambda x: len(lst) - lst[::-1].index((x[0], x[1])))
    return result
",100.0
244,Write a python function to find the next perfect square greater than a given number.,"
import math  
def next_Perfect_Square(N): 
    nextN = math.floor(math.sqrt(N)) + 1
    return nextN * nextN 
",100.0
245,Write a function to find the maximum sum of bi-tonic sub-sequence for the given array.,"
def max_sum(arr, n):
    MSIBS = arr[:]
    for i in range(n):
        for j in range(i):
            if arr[i] > arr[j] and MSIBS[i] < MSIBS[j] + arr[i]:
                MSIBS[i] = MSIBS[j] + arr[i]

    MSDBS = arr[:]
    for i in range(n-2, -1, -1):
        for j in range(n-1, i, -1):
            if arr[i] > arr[j] and MSDBS[i] < MSDBS[j] + arr[i]:
                MSDBS[i] = MSDBS[j] + arr[i]

    max_sum = float(""-Inf"")
    for i in range(n):
        max_sum = max(max_sum, MSIBS[i] + MSDBS[i] - arr[i])
    return max_sum
",100.0
246,Write a function for computing square roots using the babylonian method.,"
def babylonian_squareroot(number):
    if number == 0:
        return 0
    g = number / 2.0
    g2 = g + 1
    while abs(g - g2) > 1e-15:
        n = number / g
        g2 = g
        g = (g + n) / 2
    return g
",100.0
247,Write a function to find the longest palindromic subsequence in the given string.,"
def lps(str): 
    n = len(str) 
    L = [[0 for x in range(n)] for x in range(n)] 
    for i in range(n): 
        L[i][i] = 1
    for cl in range(2, n+1): 
        for i in range(n-cl+1): 
            j = i+cl-1
            if str[i] == str[j] and cl == 2: 
                L[i][j] = 2
            elif str[i] == str[j]: 
                L[i][j] = L[i+1][j-1] + 2
            else: 
                L[i][j] = max(L[i][j-1], L[i+1][j]); 
    return L[0][n-1]
",100.0
254,Write a function to find all words starting with 'a' or 'e' in a given string.,"import re
def words_ae(text):
 list = re.findall(""[ae]\w+"", text)
 return list",0.0
249,Write a function to find the intersection of two arrays using lambda function.,"
def intersection_array(array_nums1, array_nums2):
    result = list(filter(lambda x: x in array_nums1, array_nums2))
    return result
",100.0
250,Write a python function to count the occcurences of an element in a tuple.,"
def count_X(tup, x): 
    return tup.count(x)
",100.0
251,Write a function to insert an element before each element of a list.,"
def insert_element(list, element):
    return [v for elt in list for v in (element, elt)]
",100.0
252,Write a python function to convert complex numbers to polar coordinates.,"
import cmath  

def convert(numbers):
    num = cmath.polar(complex(numbers, 0))
    return (num)
",100.0
253,Write a python function to count integers from a given list.,"
def count_integer(list1):
    ctr = 0
    for i in list1:
        if isinstance(i, int) and not isinstance(i, bool):  # Ensure bools are not counted
            ctr += 1
    return ctr
",100.0
255,Write a function to choose specified number of colours from three different colours and generate all the combinations with repetitions.,"
from itertools import combinations_with_replacement

def combinations_colors(l, n):
    return list(combinations_with_replacement(l, n))
",100.0
256,Write a python function to count the number of prime numbers less than a given non-negative number.,"
def count_Primes_nums(n):
    if n < 2:
        return 0

    primes = [True] * n
    primes[0] = primes[1] = False

    for i in range(2, int(n**0.5) + 1):
        if primes[i]:
            for j in range(i*i, n, i):
                primes[j] = False

    return sum(primes)

# Test cases
assert count_Primes_nums(5) == 2
assert count_Primes_nums(10) == 4
assert count_Primes_nums(100) == 25
",100.0
257,Write a function to swap two numbers.,"
def swap_numbers(a, b):
    return b, a
",100.0
258,Write a function to find number of odd elements in the given list using lambda function.,"
def count_odd(array_nums):
    count_odd = len(list(filter(lambda x: (x % 2 != 0), array_nums)))
    return count_odd
",100.0
259,Write a function to maximize the given two tuples.,"
def maximize_elements(test_tup1, test_tup2):
    res = tuple(tuple(max(a, b) for a, b in zip(tup1, tup2))
                for tup1, tup2 in zip(test_tup1, test_tup2))
    return res
",100.0
261,Write a function to perform mathematical division operation across the given tuples.,"
def division_elements(test_tup1, test_tup2):
    res = tuple(ele1 // ele2 for ele1, ele2 in zip(test_tup1, test_tup2))
    return res
",100.0
262,Write a function to split a given list into two parts where the length of the first part of the list is given.,"
def split_two_parts(list1, L):
    return list1[:L], list1[L:]
",100.0
263,Write a function to merge two dictionaries.,"
def merge_dict(d1, d2):
    d = d2.copy()
    d.update(d1)
    return d
",100.0
264,Write a function to calculate a dog's age in dog's years.,"
def dog_age(h_age):
    if h_age < 0:
        return None
    elif h_age <= 2:
        d_age = h_age * 10.5
    else:
        d_age = 21 + (h_age - 2) * 4
    return d_age
",100.0
265,Write a function to split a list for every nth element.,"
def list_split(S, step):
    return [S[i::step] for i in range(step)]
",100.0
266,Write a function to find the lateral surface area of a cube.,"
def lateralsurface_cube(l):
  LSA = 4 * (l * l)
  return LSA
",100.0
267,Write a python function to find the sum of squares of first n odd natural numbers.,"
def square_Sum(n):
    return sum((2*i - 1)**2 for i in range(1, n + 1))
",100.0
268,Write a function to find the n'th star number.,"
def find_star_num(n): 
    return (6 * n * (n - 1) + 1)
",100.0
269,Write a function to find the ascii value of a character.,"
def ascii_value(k):
    return ord(k)
",100.0
270,Write a python function to find the sum of even numbers at even positions.,"
def sum_even_and_even_index(arr, n):
    sum_even = 0
    for i in range(0, n, 2):
        if arr[i] % 2 == 0:
            sum_even += arr[i]
    return sum_even
",100.0
271,Write a python function to find the sum of fifth power of first n even natural numbers.,"
def even_Power_Sum(n):
    sum = 0
    for i in range(1, n + 1):
        j = 2 * i
        sum += j ** 5
    return sum
",100.0
272,Write a function to perfom the rear element extraction from list of tuples records.,"
def rear_extract(test_list):
    res = [lis[-1] for lis in test_list]
    return res
",100.0
273,Write a function to substract the contents of one tuple with corresponding index of other tuple.,"
def substract_elements(test_tup1, test_tup2):
    res = tuple(i - j for i, j in zip(test_tup1, test_tup2))
    return res
",100.0
274,Write a python function to find sum of even index binomial coefficients.,"
def even_binomial_Coeff_Sum(n): 
    return 1 << (n - 1)
",100.0
276,Write a function to find the volume of a cylinder.,"
def volume_cylinder(r, h):
    pi = 3.1415
    volume = pi * r * r * h
    return volume
",100.0
277,Write a function to filter a dictionary based on values.,"
def dict_filter(d, n):
    result = {key: value for (key, value) in d.items() if value >= n}
    return result
",100.0
278,Write a function to find the element count that occurs before the record in the given tuple.,"
def count_first_elements(test_tup):
    for count, ele in enumerate(test_tup):
        if isinstance(ele, tuple):
            break
    return count
",100.0
279,Write a function to find the nth decagonal number.,"
def is_num_decagonal(n): 
    return 4 * n * n - 3 * n
",100.0
280,Write a function to search an element in the given array by using sequential search.,"
def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos += 1
    return found, pos if found else -1
",100.0
281,Write a python function to check if the elements of a given list are unique or not.,"
def all_unique(test_list):
    return len(test_list) == len(set(test_list))
",100.0
282,Write a function to substaract two lists using map and lambda function.,"
def sub_list(nums1, nums2):
    result = map(lambda x, y: x - y, nums1, nums2)
    return list(result)
",100.0
283,Write a python function to check whether the frequency of each digit is less than or equal to the digit itself.,"
def validate(n):
    for i in range(10):
        temp = n
        count = 0
        while temp:
            if temp % 10 == i:
                count += 1
            if count > i:
                return False
            temp //= 10
    return True
",100.0
284,Write a function to check whether all items of a list are equal to a given string.,"
def check_element(lst, element):
    check_element = all(v == element for v in lst)
    return check_element
",100.0
285,Write a function that matches a string that has an a followed by two to three 'b'.,"
import re
def text_match_two_three(text):
    patterns = '^ab{2,3}'
    if re.search(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'
",100.0
349,Write a python function to check whether the given string is a binary string or not.,"
def check(string):
    p = set(string)
    s = {'0', '1'}
    if p.issubset(s):
        return ""Yes""
    else:
        return ""No""
",100.0
287,Write a python function to find the sum of squares of first n even natural numbers.,"
def square_Sum(n):
    return int(2 * n * (n + 1) * (2 * n + 1) / 3)
",100.0
288,Write a function to count array elements having modular inverse under given prime number p equal to itself.,"
def modular_inverse(arr, N, P):
    current_element = 0
    for i in range(0, N):
        if (arr[i] % P) * (arr[i] % P) % P == 1:
            current_element = current_element + 1
    return current_element
",100.0
289,Write a python function to calculate the number of odd days in a given year.,"
def odd_Days(N):
    leap = N // 4 - N // 100 + N // 400
    total_days = N * 365 + leap
    odd = total_days % 7
    return odd

assert odd_Days(100) == 5
assert odd_Days(50) == 6
assert odd_Days(75) == 2
",100.0
290,Write a function to find the list of lists with maximum length.,"
def max_length(list1):
    max_length = max(len(x) for x in list1)
    max_list = max(list1, key=len)
    return (max_length, max_list)
",100.0
291,Write a function to find out the number of ways of painting the fence such that at most 2 adjacent posts have the same color for the given fence with n posts and k colors.,"
def count_no_of_ways(n, k):
    if n == 0:
        return 0
    elif n == 1:
        return k
    
    dp = [0] * (n + 1)
    mod = 1000000007
    dp[1] = k
    dp[2] = k * k
    
    for i in range(3, n + 1):
        dp[i] = ((k - 1) * (dp[i - 1] + dp[i - 2])) % mod
    
    return dp[n]
",100.0
292,Write a python function to find quotient of two numbers.,"
def find(n, m):  
    q = n // m 
    return q
",100.0
293,Write a function to find the third side of a right angled triangle.,"
import math
def otherside_rightangle(w,h):
  s=math.sqrt((w**2)+(h**2))
  return s
",100.0
294,Write a function to find the maximum value in a given heterogeneous list.,"
def max_val(listval):
    max_val = max(i for i in listval if isinstance(i, int)) 
    return(max_val)
",100.0
295,Write a function to return the sum of all divisors of a number.,"
def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i) == 0:
            divisors.append(i)
    return sum(divisors)
",100.0
296,Write a python function to count inversions in an array.,"
def get_Inv_Count(arr, n):
    inv_count = 0
    for i in range(n):
        for j in range(i + 1, n):
            if arr[i] > arr[j]:
                inv_count += 1
    return inv_count
",100.0
325,Write a python function to find the minimum number of squares whose sum is equal to a given number.,"
def get_Min_Squares(n):
    if n <= 3:
        return n
    dp = [float('inf')] * (n + 1)
    dp[0], dp[1], dp[2], dp[3] = 0, 1, 2, 3

    for i in range(4, n + 1):
        for x in range(1, int(i**0.5) + 1):
            temp = x * x
            if temp > i:
                break
            else:
                dp[i] = min(dp[i], 1 + dp[i - temp])

    return dp[n]
",100.0
765,Write a function to find nth polite number.,"
def nth_polite_number(n):
    polite_count, number = 0, 1
    while polite_count < n:
        number += 1
        if (number & (number - 1)) != 0:  # number is not a power of 2
            polite_count += 1
    return number

def is_polite(n):
    return nth_polite_number(n)
",100.0
298,Write a function to find the nested list elements which are present in another list.,"
def intersection_nested_lists(l1, l2):
    result = [[n for n in lst if n in l1] for lst in l2]
    return result
",100.0
299,Write a function to calculate the maximum aggregate from the list of tuples.,"
from collections import defaultdict

def max_aggregate(stdata):
    temp = defaultdict(int)
    for name, marks in stdata:
        temp[name] += marks
    return max(temp.items(), key=lambda x: x[1])
",100.0
300,Write a function to find the count of all binary sequences of length 2n such that sum of first n bits is same as sum of last n bits.,"
def count_binary_seq(n): 
    nCr = 1
    res = 1
    for r in range(1, n + 1): 
        nCr = (nCr * (n + 1 - r)) / r 
        res += nCr * nCr 
    return res 

assert count_binary_seq(1) == 2.0
assert count_binary_seq(2) == 6.0
assert count_binary_seq(3) == 20.0
",100.0
301,Write a function to find the depth of a dictionary.,"
def dict_depth(d):
    if isinstance(d, dict):
        return 1 + (max(map(dict_depth, d.values())) if d else 0)
    return 0
",100.0
302,Write a python function to find the most significant bit number which is also a set bit.,"
def set_Bit_Number(n):
    if n == 0:
        return 0
    msb = 0
    while n > 0:
        n = n >> 1
        msb += 1
    return 1 << (msb - 1)
",100.0
303,Write a python function to check whether the count of inversion of two types are same or not.,"
def solve(a, n):
    count_inversions_1 = sum(1 for i in range(n) for j in range(i + 1, n) if a[i] > a[j])
    count_inversions_2 = sum(1 for i in range(1, n) if a[i - 1] > a[i])
    return count_inversions_1 == count_inversions_2
",100.0
304,Write a python function to find element at a given index after number of rotations.,"
def find_Element(arr, ranges, rotations, index):
    for i in range(rotations - 1, -1, -1):
        left = ranges[i][0]
        right = ranges[i][1]
        if left <= index <= right:
            if index == left:
                index = right
            else:
                index -= 1
    return arr[index]
",100.0
305,Write a function to match two words from a list of words starting with letter 'p'.,"
import re

def start_withp(words):
    for w in words:
        m = re.match(r""\b(P\w+)\b.*\b(P\w+)\b"", w, re.IGNORECASE)
        if m:
            return m.groups()
",100.0
313,Write a python function to print positive numbers in a list.,"def pos_nos(list1):
  for num in list1: 
    if num >= 0: 
       return num ",66.66666666666666
307,Write a function to get a colon of a tuple.,"
from copy import deepcopy

def colon_tuplex(tuplex, m, n):
    tuplex_colon = list(deepcopy(tuplex))
    tuplex_colon[m].append(n)
    return tuple(tuplex_colon)
",100.0
308,Write a function to find the specified number of largest products from two given lists.,"
def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result
",100.0
309,Write a python function to find the maximum of two numbers.,"
def maximum(a, b):
    if a >= b:
        return a
    else:
        return b
",100.0
310,Write a function to convert a given string to a tuple.,"
def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace())
    return result
",100.0
311,Write a python function to set the left most unset bit.,"
def set_left_most_unset_bit(n): 
    if not (n & (n + 1)): 
        return n 
    pos, temp, count = 0, n, 0 
    while temp: 
        if not (temp & 1): 
            pos = count      
        count += 1; temp>>=1
    return (n | (1 << (pos)))
",100.0
312,Write a function to find the volume of a cone.,"
import math
def volume_cone(r, h):
    volume = (1.0/3) * math.pi * r * r * h
    return volume
",100.0
314,Write a function to find out the maximum sum such that no two chosen numbers are adjacent for the given rectangular grid of dimension 2 x n.,"
def max_sum_rectangular_grid(grid, n) : 
    incl = max(grid[0][0], grid[1][0]) 
    excl = 0
    for i in range(1, n) : 
        excl_new = max(excl, incl) 
        incl = excl + max(grid[0][i], grid[1][i]) 
        excl = excl_new 
    return max(excl, incl)
",100.0
317,Write a function to reflect the modified run-length encoding from a list.,"
from itertools import groupby

def modified_encode(alist):
    def ctr_ele(el):
        if len(el)>1: return [len(el), el[0]]
        else: return el[0]
    return [ctr_ele(list(group)) for key, group in groupby(alist)]
",100.0
318,Write a python function to find the maximum volume of a cuboid with given sum of sides.,"
def max_volume(s):
    maxvalue = 0
    for i in range(1, s//3 + 1):
        for j in range(1, (s-i)//2 + 1):
            k = s - i - j
            maxvalue = max(maxvalue, i * j * k)
    return maxvalue
",100.0
319,Write a function to find all five characters long word in the given string by using regex.,"
import re
def find_long_word(text):
    return re.findall(r""\b[a-zA-Z]{5}\b"", text)
",100.0
320,Write a function to calculate the difference between the squared sum of first n natural numbers and the sum of squared first n natural numbers.,"
def sum_difference(n):
    sumofsquares = 0
    squareofsum = 0
    for num in range(1, n+1):
        sumofsquares += num ** 2
        squareofsum += num
    squareofsum **= 2
    return squareofsum - sumofsquares

assert sum_difference(12) == 5434
assert sum_difference(20) == 41230
assert sum_difference(54) == 2151270
",100.0
321,Write a function to find the demlo number for the given number.,"
def find_demlo(s): 
    l = len(s)
    res = """"
    for i in range(1, l+1): 
        res += str(i) 
    for i in range(l-1, 0, -1): 
        res += str(i) 
    return res
",100.0
322,Write a function to find all index positions of the minimum values in a given list.,"
def position_min(list1):
    min_val = min(list1)
    min_result = [i for i, j in enumerate(list1) if j == min_val]
    return min_result
",100.0
324,Write a function to extract the sum of alternate chains of tuples.,"
def sum_of_alternates(test_tuple):
    sum1 = 0
    sum2 = 0
    for idx, ele in enumerate(test_tuple):
        if idx % 2:
            sum1 += ele
        else:
            sum2 += ele
    return ((sum1),(sum2))
",100.0
328,Write a function to rotate a given list by specified number of items to the left direction.,"def rotate_left(list1,m,n):
  result =  list1[m:]+list1[:n]
  return result",66.66666666666666
327,Write a function to print check if the triangle is isosceles or not.,"
def check_isosceles(x, y, z):
    if x == y or y == z or z == x:
        return True
    else:
        return False
",100.0
329,Write a python function to count negative numbers in a list.,"
def neg_count(lst):
    neg_count = 0
    for num in lst:
        if num < 0:
            neg_count += 1
    return neg_count
",100.0
330,"Write a function to find all three, four, five characters long words in the given string by using regex.","
import re

def find_char(text):
    return re.findall(r""\b\w{3,5}\b"", text)
",100.0
331,Write a python function to count unset bits of a given number.,"
def count_unset_bits(n):
    count = 0
    x = 1
    while x <= n:
        if (x & n) == 0:
            count += 1
        x = x << 1
    return count

assert count_unset_bits(2) == 1
assert count_unset_bits(4) == 2
assert count_unset_bits(6) == 1
",100.0
332,Write a function to count character frequency of a given string.,"
def char_frequency(str1):
    dict = {}
    for n in str1:
        if n in dict:
            dict[n] += 1
        else:
            dict[n] = 1
    return dict
",100.0
333,Write a python function to sort a list according to the second element in sublist.,"
def Sort(sub_li):
    sub_li.sort(key=lambda x: x[1])
    return sub_li
",100.0
334,Write a python function to check whether the triangle is valid or not if sides are given.,"
def check_Validity(a, b, c):  
    if (a + b <= c) or (a + c <= b) or (b + c <= a): 
        return False
    else: 
        return True
",100.0
335,Write a function to find the sum of arithmetic progression.,"
def ap_sum(a, n, d):
    total = (n * (2 * a + (n - 1) * d)) / 2
    return total
",100.0
336,Write a function to check whether the given month name contains 28 days or not.,"
def check_monthnum(monthname1):
  if monthname1 == ""February"":
    return True
  else:
    return False
",100.0
337,"Write a function that matches a word at the end of a string, with optional punctuation.","
import re
def text_match_word(text):
    patterns = r'\b\w+[?!.,;:]*$'
    if re.search(patterns, text.strip()):
        return 'Found a match!'
    else:
        return 'Not matched!'
",100.0
339,Write a python function to find the maximum occuring divisor in an interval.,"
def find_Divisor(x, y):
    if x == y:
        return x
    
    max_divisor = 1
    max_count = 0
    for i in range(2, y + 1):
        count = 0
        for j in range(x, y + 1):
            if j % i == 0:
                count += 1
        if count > max_count:
            max_count = count
            max_divisor = i
            
    return max_divisor
",100.0
340,Write a python function to find the sum of the three lowest positive numbers from a given list of numbers.,"
def sum_three_smallest_nums(lst):
    return sum(sorted([x for x in lst if x > 0])[:3])
",100.0
341,Write a function to convert the given set into ordered tuples.,"
def set_to_tuple(s):
    t = tuple(sorted(s))
    return (t)
",100.0
343,Write a function to calculate the number of digits and letters in a string.,"
def dig_let(s):
    d = l = 0
    for c in s:
        if c.isdigit():
            d += 1
        elif c.isalpha():
            l += 1
    return (l, d)
",100.0
344,Write a python function to find number of elements with odd factors in a given range.,"
def count_Odd_Squares(n, m):
    return int(m**0.5) - int((n-1)**0.5)
",100.0
345,Write a function to find the difference between two consecutive numbers in a given list.,"
def diff_consecutivenums(nums):
    result = [b-a for a, b in zip(nums[:-1], nums[1:])]
    return result
",100.0
346,"Write a function to find entringer number e(n, k).","
def zigzag(n, k):
    if n < 0 or k < 0:
        return 0
    dp = [[0 for _ in range(n + 1)] for _ in range(n + 1)]
    dp[0][0] = 1
    for i in range(1, n + 1):
        for j in range(i + 1):
            if j == 0:
                dp[i][j] = 0
            else:
                dp[i][j] = dp[i][j - 1] + dp[i - 1][i - j]
    return dp[n][k]
",100.0
347,Write a python function to count the number of squares in a rectangle.,"
def count_Squares(m, n):
    if n < m:
        m, n = n, m
    return (m * (m + 1) * (2 * m + 1) // 6) + (m * (m + 1) // 2) * (n - m)
",100.0
348,Write a function to count sequences of given length having non-negative prefix sums that can be generated by given values.,"
def bin_coff(n, r): 
	val = 1
	if (r > (n - r)): 
		r = (n - r) 
	for i in range(0, r): 
		val *= (n - i) 
		val //= (i + 1) 
	return val 

def find_ways(M): 
	n = M // 2
	a = bin_coff(2 * n, n) 
	b = a // (n + 1) 
	return (b)
",100.0
796,Write function to find the sum of all items in the given dictionary.,"
def return_sum(dict):
    return sum(dict.values())
",100.0
351,Write a python function to find the first element occurring k times in a given array.,"
def first_Element(arr, n, k):
    count_map = {}
    for i in range(n):
        if arr[i] in count_map:
            count_map[arr[i]] += 1
        else:
            count_map[arr[i]] = 1
    
    for i in range(n):
        if count_map[arr[i]] == k:
            return arr[i]

    return -1
",100.0
352,Write a python function to check whether all the characters in a given string are unique.,"
def unique_Characters(s):
    return len(s) == len(set(s))

assert unique_Characters('aba') == False
assert unique_Characters('abc') == True
assert unique_Characters('abab') == False
",100.0
353,Write a function to remove a specified column from a given nested list.,"
def remove_column(list1, n):
    for i in list1:
        if n < len(i):
            del i[n]
    return list1
",100.0
354,Write a function to find t-nth term of arithemetic progression.,"
def tn_ap(a, n, d):
    tn = a + (n - 1) * d
    return tn
",100.0
355,Write a python function to count the number of rectangles in a circle of radius r.,"def count_Rectangles(radius):  
    rectangles = 0 
    diameter = 2 * radius 
    diameterSquare = diameter * diameter 
    for a in range(1, 2 * radius):  
        for b in range(1, 2 * radius): 
            diagnalLengthSquare = (a * a + b * b)  
            if diagnalLengthSquare <= diameterSquare: 
                rectangles += 1
    return rectangles",100.0
356,Write a function to find the third angle of a triangle using two angles.,"
def find_angle(a,b):
    c = 180 - (a + b)
    return c
",100.0
357,Write a function to find the maximum element of all the given tuple records.,"
def find_max(test_list):
    res = max(j for i in test_list for j in i)
    return res
",100.0
358,Write a function to find modulo division of two lists using map and lambda function.,"
def moddiv_list(nums1, nums2):
    result = map(lambda x, y: x % y, nums1, nums2)
    return list(result)
",100.0
360,Write a function to find the n’th carol number.,"
def get_carol(n): 
    result = (2**n) - 1
    return result * result - 2
",100.0
361,Write a function to remove empty lists from a given list of lists.,"
def remove_empty(list1):
    return [x for x in list1 if x]
",100.0
367,Write a function to check if a binary tree is balanced or not.,"class Node: 
	def __init__(self, data): 
		self.data = data 
		self.left = None
		self.right = None
def get_height(root): 
	if root is None: 
		return 0
	return max(get_height(root.left), get_height(root.right)) + 1
def is_tree_balanced(root): 
	if root is None: 
		return True
	lh = get_height(root.left) 
	rh = get_height(root.right) 
	if (abs(lh - rh) <= 1) and is_tree_balanced( 
	root.left) is True and is_tree_balanced( root.right) is True: 
		return True
	return False",0.0
363,Write a function to add the k elements to each element in the tuple.,"
def add_K_element(test_list, K):
    res = [tuple(j + K for j in sub) for sub in test_list]
    return res
",100.0
364,Write a function to find the number of flips required to make the given binary string a sequence of alternate characters.,"
def make_flip(ch): 
    return '1' if (ch == '0') else '0'

def get_flip_with_starting_character(str, expected): 
    flip_count = 0
    for i in range(len(str)): 
        if (str[i] != expected): 
            flip_count += 1
        expected = make_flip(expected)
    return flip_count

def min_flip_to_make_string_alternate(str): 
    return min(get_flip_with_starting_character(str, '0'), get_flip_with_starting_character(str, '1')) 
",100.0
365,Write a python function to count the number of digits of a given number.,"
def count_Digit(n):
    return len(str(abs(n)))
",100.0
366,Write a python function to find the largest product of the pair of adjacent elements from a given list of integers.,"
def adjacent_num_product(list_nums):
    return max(a*b for a, b in zip(list_nums, list_nums[1:]))
",100.0
368,Write a function to repeat the given tuple n times.,"
def repeat_tuples(test_tup, N):
    res = (test_tup, ) * N
    return res
",100.0
369,Write a function to find the lateral surface area of cuboid,"
def lateralsurface_cuboid(l, w, h):
    LSA = 2 * h * (l + w)
    return LSA
",100.0
370,Write a function to sort a tuple by its float element.,"
def float_sort(price):
  float_sort=sorted(price, key=lambda x: float(x[1]), reverse=True)
  return float_sort
",100.0
371,Write a function to find the smallest missing element in a sorted array.,"
def smallest_missing(A, left_element, right_element):
    if left_element > right_element:
        return left_element
    mid = left_element + (right_element - left_element) // 2
    if A[mid] == mid:
        return smallest_missing(A, mid + 1, right_element)
    else:
        return smallest_missing(A, left_element, mid - 1)
",100.0
373,Write a function to find the volume of a cuboid.,"
def volume_cuboid(l, w, h):
    volume = l * w * h
    return volume
",100.0
375,Write a function to round the given number to the nearest multiple of a specific number.,"
def round_num(n, m):
    a = (n // m) * m
    b = a + m
    return (b if n - a > b - n else a)
",100.0
376,Write a function to remove tuple elements that occur more than once and replace the duplicates with some custom value.,"
def remove_replica(test_tup):
    temp = set()
    res = tuple(ele if ele not in temp and not temp.add(ele) 
                else 'MSP' for ele in test_tup)
    return res
",100.0
377,Write a python function to remove all occurrences of a character in a given string.,"
def remove_Char(s, c):
    return s.replace(c, '')
",100.0
378,Write a python function to shift last element to first position in the given list.,"
def move_first(test_list):
    test_list = test_list[-1:] + test_list[:-1]
    return test_list
",100.0
379,Write a function to find the surface area of a cuboid.,"
def surfacearea_cuboid(l, w, h):
  SA = 2 * (l * w + l * h + w * h)
  return SA
",100.0
380,Write a function to generate a two-dimensional array.,"
def multi_list(rownum, colnum):
    multi_list = [[0 for col in range(colnum)] for row in range(rownum)]
    for row in range(rownum):
        for col in range(colnum):
            multi_list[row][col] = row * col
    return multi_list
",100.0
381,Write a function to sort a list of lists by a given index of the inner list.,"
from operator import itemgetter

def index_on_inner_list(list_data, index_no):
    result = sorted(list_data, key=itemgetter(index_no))
    return result
",100.0
383,Write a python function to toggle all odd bits of a given number.,"
def odd_bit_toggle_number(n) :
    res = 0; count = 0; temp = n    
    while(temp > 0) : 
        if (count % 2 != 0) : 
            res = res | (1 << count)      
        count = count + 1
        temp >>= 1 
    return n ^ res
",100.0
384,Write a python function to find the frequency of the smallest value in a given array.,"
def frequency_Of_Smallest(n, arr):
    mn = arr[0]
    freq = 1
    for i in range(1, n):
        if arr[i] < mn:
            mn = arr[i]
            freq = 1
        elif arr[i] == mn:
            freq += 1
    return freq
",100.0
